"기준일ID","시간대구분","자치구코드","총생활인구수","남자0세부터9세생활인구수","남자10세부터14세생활인구수","남자15세부터19세생활인구수","남자20세부터24세생활인구수","남자25세부터29세생활인구수","남자30세부터34세생활인구수","남자35세부터39세생활인구수","남자40세부터44세생활인구수","남자45세부터49세생활인구수","남자50세부터54세생활인구수","남자55세부터59세생활인구수","남자60세부터64세생활인구수","남자65세부터69세생활인구수","남자70세이상생활인구수","여자0세부터9세생활인구수","여자10세부터14세생활인구수","여자15세부터19세생활인구수","여자20세부터24세생활인구수","여자25세부터29세생활인구수","여자30세부터34세생활인구수","여자35세부터39세생활인구수","여자40세부터44세생활인구수","여자45세부터49세생활인구수","여자50세부터54세생활인구수","여자55세부터59세생활인구수","여자60세부터64세생활인구수","여자65세부터69세생활인구수","여자70세이상생활인구수"
"20240502","00","11440","410303.9784","12831.6606","6444.6755","9717.0614","15341.8547","17701.4446","16836.8789","20137.1953","17239.7371","18319.092","14241.6082","12039.8169","8780.9688","6379.474","12655.3033","11237.2225","5444.7333","11143.7142","23974.5559","23295.4836","20015.4767","21928.7959","17540.5183","18294.5236","14623.8566","13274.4988","10350.2626","8277.0462","22236.522"
"20240502","00","11470","384277.4989","17012.2455","12089.1456","13282.2527","8635.7766","10789.769","10623.9147","13589.4633","14541.8977","18699.5416","15061.6425","13830.5098","10568.4766","7587.8757","15813.6228","15279.4056","10426.8951","12408.3615","10486.4792","11977.2184","11826.6692","15430.2914","16613.3327","19308.2208","14993.9993","15301.5216","12472.3308","10226.8285","25399.8085"
"20240502","00","11500","540578.2695","22065.3639","10073.1495","12246.9709","12368.6987","20052.2905","22672.8589","26423.5936","23258.6046","23712.2178","18425.3216","17017.0163","13960.5553","10630.5073","22502.6942","20683.7825","9327.5774","12007.9091","16777.9486","25191.1931","25636.3342","26600.0325","22235.1403","22294.3997","18033.1745","18780.9996","16987.492","14017.4551","36594.9878"
"20240502","00","11530","387080.7901","14731.957","6502.739","8285.3922","8605.677","13854.8442","14833.9906","19022.8233","16380.3147","17868.5058","15082.6684","14668.0128","11584.3064","8254.7054","16422.0639","14707.2614","6361.154","8351.3961","11729.552","14748.1362","16115.8168","18500.7149","15111.3844","16418.2329","14299.2655","15507.7187","13493.8583","10148.8735","25489.4184"
"20240502","00","11545","202317.2274","5535.2456","2595.292","3245.4409","5073.9484","9812.8607","10409.2456","11070.0906","9177.4105","8820.4288","8106.4249","8321.031","6506.6827","4430.7174","7951.7987","4838.2041","2397.3186","3914.3214","6467.3073","10713.6695","9197.3889","9259.3273","7308.4773","7559.8255","7079.5112","8225.8351","6907.8453","5280.1125","12111.4673"
"20240502","00","11560","410313.1303","12794.7099","5684.9795","7947.7659","9664.9542","17581.4534","19714.5622","22998.5499","18257.2883","18880.8988","15609.8307","15190.4169","11513.2332","8038.5037","15383.3966","12652.2681","5337.8734","7182.7593","14312.2433","21382.7393","20825.8445","21894.3697","17053.2682","16521.84","14147.4147","14919.5274","12654.6251","9220.9791","22946.838"
"20240502","00","11590","397958.3699","12647.644","5995.2508","10520.2039","17549.9227","19479.7892","15915.4141","17072.5678","14441.5238","15735.9218","13864.8687","12756.4287","9509.6168","7185.0582","15553.1277","12497.6715","5870.967","9993.8794","21527.5826","19914.9845","16183.1106","17463.4044","14514.1086","15824.1543","13504.2762","14409.8825","12504.0736","9785.6578","25737.2788"
"20240502","00","11620","499888.0887","11123.5477","5349.3038","10612.9712","22415.1856","36176.6956","29052.7578","25059.9274","18798.7357","19674.156","16918.4735","14825.4242","11224.5203","8087.7983","18001.6788","10926.5929","5234.6614","10533.5559","28957.5469","36665.7724","24874.247","20615.4466","15794.0612","16580.2956","14363.5427","15479.5595","13199.838","11006.2607","28335.5272"
"20240502","00","11650","456615.8743","21211.7671","11245.715","14169.6682","11607.028","13523.8074","14439.987","19373.7362","20380.2049","24705.0167","19157.149","15409.4702","10281.2113","8017.4903","16385.3408","19767.8891","10562.7829","13208.7986","13469.4745","15463.8732","16056.7139","22046.2117","21783.9882","24036.5419","17216.6724","14928.2614","12000.5776","9876.1969","26290.2887"
"20240502","00","11680","663992.0307","27955.8777","18345.5972","24343.2665","15431.6484","20422.0515","22765.2796","28987.6679","31098.0314","36923.6303","27686.0254","20879.505","14461.064","10272.1801","22114.1878","25000.6961","15948.1958","21043.4621","20200.7949","24361.0581","24736.6449","31664.7352","33018.8225","35547.5332","24478.8758","20432.9749","16091.8","13739.2281","36041.1984"
"20240502","00","11710","722397.5623","32234.8212","16147.7952","18913.7497","16444.0338","23364.9273","26245.7593","32651.1046","31546.3239","32708.3804","26178.9082","24471.321","19061.8789","13924.4389","27473.9141","30257.9514","15558.4106","18638.637","20074.767","27971.0473","30235.4286","36117.3153","31967.2979","32150.4873","26491.7996","27111.3133","23574.9586","18344.6647","42536.1278"
"20240502","00","11740","529251.126","22350.4113","12987.7198","14967.757","11423.5482","15698.6294","16823.469","22303.3582","21840.3789","24148.177","18711.6331","18554.505","15042.0051","11394.2437","23362.4868","20553.1723","11457.8309","12988.5056","14002.4291","18476.85","18677.242","24922.8013","23274.4594","23868.5261","19794.5362","20688.2694","18808.8138","15110.6323","37018.7306"
"20240502","01","11110","198925.101","4646.7316","2814.6309","5888.3492","9031.171","8139.5268","6838.6369","7873.9204","7315.6661","8259.9447","7991.7109","7649.6826","5902.897","4171.667","8194.7505","4328.7225","2641.3582","6062.3556","12702.3021","8869.3133","6820.7427","7697.5228","7123.1227","7959.2913","7683.8921","7641.881","6520.5533","4729.2607","13425.4956"
"20240502","01","11140","169650.5308","4470.2019","1721.143","2824.7118","5822.4784","6832.6606","7696.0559","9566.2517","8158.5507","7837.7831","6603.8941","6073.9487","4589.5881","3324.1102","6526.8422","4589.2016","1956.2443","3363.017","8123.0596","7930.611","7774.2221","8919.0113","7148.4387","6840.1953","6055.9427","6092.714","5172.2003","3821.2806","9816.1738"
"20240502","01","11170","239804.9085","7889.0749","3867.4394","4913.1345","6799.3241","8936.5534","10235.4107","12673.5753","11093.8915","11056.4347","9106.4858","8225.8628","6243.1068","4420.8482","8828.0859","6215.9765","3063.2152","5346.9447","9046.8581","10815.783","11649.8476","13545.6005","10916.2344","10213.7615","8859.3336","8313.8013","7433.781","5537.5178","14557.0246"
"20240502","01","11200","317062.0245","10181.2847","4189.5816","7199.6469","11848.6792","13302.2659","11831.1859","15679.3107","13861.3359","13451.8084","11482.2499","11043.4194","8644.0996","5950.9235","11311.2379","9544.6593","4104.4614","7934.424","15070.747","14051.853","13511.2942","16595.6955","13416.7307","13216.7017","11874.7181","11701.3748","9819.5226","7434.9835","18807.8229"
"20240502","01","11215","369606.1602","11183.2439","6021.4523","10192.3608","15551.9408","17502.3511","15147.9103","15287.1541","12963.9081","14265.428","12688.6559","12275.4382","9565.2413","6512.3468","12529.6147","10954.1292","6065.9461","11313.0718","21525.6767","20988.1962","16272.3759","16414.1975","13872.3618","14866.9116","12684.9231","13504.6327","11031.0906","8624.4484","19801.1553"
"20240502","01","11230","352499.193","10052.2893","4953.5021","9279.6732","18123.6443","16435.973","11400.7473","13954.5355","13117.0065","14023.4421","12092.0598","11656.899","9224.952","6762.9419","14485.9899","9846.6661","4799.096","10596.8125","27733.2612","17399.9078","12644.127","14187.1391","12203.0161","12720.4971","11332.8167","11684.3774","10257.3188","8505.8628","23024.6387"
"20240502","01","11260","368562.4305","13152.9115","6343.357","7557.5432","9329.0017","13197.7567","13621.6644","15862.1717","14389.6963","14603.5216","13519.1741","14966.6327","12002.4294","8808.5437","16835.1109","11756.5735","5589.403","7489.6591","11693.8738","15449.0921","15169.5315","16333.1639","13633.3776","14215.1688","14212.7358","16613.212","14608.1805","10692.7616","26916.1793"
"20240502","01","11290","445064.6062","16339.4033","9132.7754","14988.7179","19147.3791","16024.4019","12594.9337","15370.126","15512.5187","17736.9339","16159.5276","14850.266","11168.4913","8206.7325","17650.5129","15058.099","8214.0389","16066.2176","27881.7123","17514.453","14090.6533","17404.3119","16402.2021","18440.9017","17558.9289","16403.3191","13817.0109","10722.0118","30608.0248"
"20240502","01","11305","291423.0087","9229.8884","5040.6841","6501.3367","8636.1069","10241.6173","8702.2479","10253.541","10202.7686","12021.4024","11236.8416","11601.07","9140.7954","6731.5864","15426.9397","7990.4141","4358.081","7169.6478","13322.6674","11113.8795","9159.0153","10219.1231","9995.9196","12036.9797","12186.9584","12666.1314","11432.7204","8881.4184","25923.2261"
"20240502","01","11320","273605.6047","9325.9419","5205.1588","6959.4463","6834.825","8479.519","7932.5399","9824.4265","9735.1944","10680.1062","10245.9717","10870.583","9209.8578","7467.3167","14930.7101","7942.1946","4450.9583","6912.6003","9337.0063","9284.7393","8821.5503","10364.2124","9413.9606","11115.29","11315.2273","13138.8973","11483.7577","8895.8194","23427.7921"
"20240502","01","11350","505686.8999","17159.5344","11412.6387","18123.1096","18547.4468","15299.3417","13612.8287","17710.9045","16774.8125","21060.5526","18919.0745","18130.7746","14379.6079","11190.3462","22672.9071","16479.3607","10675.3364","17430.0425","20579.7841","15617.439","15559.646","18685.3939","19245.3914","22782.6926","21496.1994","21615.0145","18144.0134","14276.2811","38106.4326"
"20240502","01","11380","458165.5841","15301.9202","8423.4152","11547.6763","11518.4382","14843.238","15563.1705","18199.0383","17460.1328","19423.4187","16884.5408","15884.5931","13023.1877","9384.0252","19984.7215","15237.7188","8303.1223","10976.9768","15668.35","18952.9347","18522.9355","20440.5533","19135.4396","21168.0555","19079.6212","19267.8132","16807.617","12640.733","34522.1968"
"20240502","01","11410","347004.2051","10102.2781","5078.9355","8747.1221","14346.1614","14062.4205","11433.3837","13570.8765","12909.0925","13851.8559","11828.4528","11139.8749","8711.7006","6005.6155","12914.439","9927.0266","5181.9415","11919.7663","26800.4226","17439.7723","13189.1272","15137.6499","12527.3989","13620.5036","12711.1046","12962.7719","10549.2291","7907.3853","22427.8937"
